x1,x2
-0.201517302,-0.683358163
0.374519467,-0.828082233
-0.161894679,-1.247106545
0.037710958,-0.047302843
-0.260479058,1.770203911
0.392173364,0.726250908
-0.595546026,-1.454800126
-1.212472937,-1.29884588
-0.624019968,-1.270223039
0.53530969,1.390764963
-0.51854809,-0.420369016
-0.78581739,-0.412936887
1.862336681,0.297273569
2.205325953,0.940952382
2.304150764,1.846348069
0.508139519,0.480414446
-0.065200228,-0.336982944
0.211606998,0.263404037
1.185185087,0.680412465
0.206560924,-0.272818841
0.57237373,0.497517769
-1.362220992,-1.136890606
0.522715024,0.108867856
-0.685104521,0.900100044
2.75493946,3.133337679
-0.524222039,0.089272254
0.326521071,1.821588221
-0.918118273,-0.954474164
0.103769714,-0.402705125
0.003417652,-0.097937206
-1.009080286,-0.756187629
-0.161581064,0.317700227
-0.598890072,-0.441403631
1.066353853,1.794116054
1.447869121,0.73400123
-0.082557983,0.279496357
-0.720117986,-1.913499507
-1.954790394,-0.797636375
0.502787756,0.360403129
0.748184021,0.321587126
1.850266412,0.655501374
0.095317281,0.277590024
-1.356797644,-2.064612625
1.904781289,2.008414651
0.310287659,0.562175363
0.817385154,-0.073020333
0.360614295,0.928159729
0.08785715,-0.597454125
-0.304286206,-1.327016776
0.431856801,0.571807741
1.699738936,0.855139213
0.013394238,-0.043205037
0.434412642,0.03479627
1.308033761,0.754876543
-2.623883777,-3.066590054
-1.200986654,-1.616295984
-1.713232054,-0.842044769
-0.194995642,-0.648540874
0.947180198,1.630065989
1.651704545,0.75044597
-1.941341522,-0.907634542
0.051819926,-0.122267783
0.49717761,0.745609352
0.987727077,-0.082187185
0.626110732,0.802324012
1.833444491,1.140815069
-0.712087936,0.482421959
-0.177585611,-0.154953937
-1.432850388,-2.183864761
0.387357693,0.983265847
-1.169016074,-0.84537999
2.189019295,2.711603975
-0.640795875,-0.607984257
-1.1208435,-0.12527358
0.283071403,-0.378762768
1.697780046,1.742878417
0.866512229,0.469199774
0.962351096,1.156304124
-0.841937613,-0.53482788
0.733360104,1.362044932
0.585448105,-1.173836723
0.162364462,-1.277207389
0.690831972,1.438698005
-0.382755617,-0.838462498
0.704182404,0.948623825
1.535570406,1.825985963
0.01341545,0.532536231
0.502239468,-0.267458577
-0.06548457,-0.312854847
1.740873403,0.9180922
0.923974079,0.959344805
-0.705912798,-0.726075862
1.262674664,0.992881719
-0.911129731,-0.149337612
0.779354781,0.9798953
1.126709377,-0.396486622
1.411254999,1.010876506
0.62423674,0.344308504
0.434812191,0.694598196
1.461095975,0.333050845
-0.256117002,-0.693370991
-0.444712377,-1.034725835
-0.78693552,-1.662858445
0.878932911,1.371182893
-1.382546867,-1.945628216
-2.006439416,-0.930460828
-0.662099197,-0.815697565
2.597113977,1.488887857
0.580425436,0.93432892
0.415843186,-0.0538194
0.508209672,-0.664474092
-0.017328707,-0.693798696
-1.241060953,-1.134627682
0.905580219,0.525849484
1.448896,1.565560733
0.986294415,0.904694738
-1.185910448,-0.946906628
-1.377846739,0.48824064
-1.039353042,-0.253590837
0.66387424,-0.181791024
0.201303157,-0.62139218
2.611130651,3.031130466
0.069307513,-0.689287081
-1.175932326,-1.236405076
0.786565273,0.105116193
-0.922168404,-1.236736207
0.644663802,0.308792858
1.338920987,0.141705344
1.00712662,0.379462245
-0.183630677,-1.115444003
-0.453569792,-0.823374349
0.82824491,0.702875128
-0.066207803,0.005401974
-0.613141916,-0.464382948
1.700922748,1.210674831
-1.477020931,-1.562344351
2.137762677,2.256031424
-2.003439509,-1.176903232
-0.128796354,0.025268623
-0.547926147,-0.65983363
-0.119792182,1.034292548
0.018449454,0.7321747
1.754347672,1.196918922
0.936607893,1.226907249
0.822429046,0.362202656
0.814697333,0.915929247
-0.70046255,-1.124553456
-0.561311962,-0.574466383
0.458870487,0.703961051
-0.330103301,-2.172113928
-1.274674488,-0.026014847
-0.107792301,0.432038266
-1.096842393,-0.730839496
-0.69427182,0.228115647
-1.110246842,-0.978614909
-0.300231202,-0.940098302
0.102052116,0.195294955
0.276611875,-0.194572684
-1.307543314,-1.059612757
-0.230355537,-1.149701442
0.723292581,0.233381125
-0.423146149,0.766474245
-2.440757984,-2.298656707
-0.283808672,-0.420518957
0.186939455,0.816522747
0.746353736,0.012773576
-0.542437995,-0.653111438
-0.423503773,-0.196475409
-1.142779577,-0.692483143
-0.843753981,-0.902219884
-0.072618014,0.217600381
-0.443187237,-0.071809631
-1.148459213,0.402544657
-0.032981571,0.330972517
-0.641983945,0.327127026
1.10737504,0.256086275
-1.425512849,-0.874287672
0.056940432,-0.460546203
-1.36840593,-1.046494717
0.69897226,0.36988435
0.091924208,1.091507421
0.515726495,-0.202786946
0.145789954,0.938652472
-0.331210994,-0.827875231
1.29073493,0.881087698
-0.116950939,-0.406583139
0.525530983,0.540311352
0.929157194,0.148709039
1.651249627,0.986594375
0.586677604,0.764532437
0.222565811,-0.369455906
-0.594803786,-1.45337013
-0.48508515,-1.31084471
0.01997384,0.60505112
-0.506717999,-1.111580636
0.330906645,-0.465263655
0.04393357,0.34203591
-0.007011192,1.040250703
-0.705257684,-0.222534744
0.575461794,0.482261253
-0.588241092,0.02535761
-0.519206893,-0.805643776
1.203714594,0.366227642
-2.402839749,-1.599879733
-1.308694424,-1.41280097
-2.078329444,-1.714680716
-0.036754147,-0.408445195
1.079125668,1.562019798
-0.068609594,-0.071177429
1.969675404,0.553913761
0.724656754,1.351685106
-1.550320234,-2.011621228
0.863233974,-0.246955078
0.833430675,1.059538516
0.68721201,0.759355745
-1.086577844,-1.219236602
0.496860246,1.673281756
-0.640258363,-0.495227608
-0.218632187,-0.372334684
